ID	congr	freq	TFrq	FlFrq	RT	amplFfull_norm	amplTfull_norm	amplFpost_norm	amplTpost_norm	amplFpre_norm	amplTpre_norm	alpha_abs	alpha	cond	theta_norm
4	1	0	7	10	666.992	-2.04532	-0.629324	-0.684056	0.190574	0.463918	-1.66233	0.5	10.5	3	0.0787731
4	0	0	7	10	666.992	-1.69031	-1.66233	-0.352068	-1.99171	0.415406	-0.927515	0.5	10.5	3	0.0714192
4	1	0	7	10	583.984	0.108282	-1.08555	0.0310886	-1.63573	-0.45495	-1.09557	0.5	10.5	3	0.0164549
4	1	0	7	10	466.797	-0.137981	-0.406786	-0.882151	-0.0347489	-0.209598	-0.748694	0.5	10.5	3	0.108282
4	0	0	7	10	525.391	0.2559	-0.315356	-0.608346	-1.35696	-0.0457357	2.60017	0.5	10.5	3	-1.25648
4	0	0	7	10	474.609	-0.45495	-0.482067	-3.15131	-0.21342	0.59292	-1.5194	0.5	10.5	3	-1.69031
4	1	0	7	10	442.383	-1.89868	-1.19398	-1.63573	0.299305	0.0640729	-1.45985	0.5	10.5	3	-1.32643
4	1	0	7	10	458.984	-0.552969	-1.28346	-0.0201124	-2.80382	0.812437	0.228772	0.5	10.5	3	1.31175
4	1	0	7	10	592.773	1.71983	-2.25083	-0.577744	-1.85772	0.352068	0.295316	0.5	10.5	3	0.552969
4	0	0	7	10	508.789	-0.951369	-0.64	0.463918	-1.08555	0.77356	0.108282	0.5	10.5	3	0.389716
4	1	0	7	10	616.211	0.201971	-0.190574	0.645386	1.75109	0.689726	-0.896947	0.5	10.5	3	-1.44134
4	0	0	7	10	733.398	-0.267638	-0.411089	0.137981	-0.402498	1.34149	-0.853455	0.5	10.5	3	-0.419738
4	0	0	7	10	508.789	-0.419738	-0.0384101	1.42342	0.108282	-0.528797	1.13738	0.5	10.5	3	0.509859
4	0	0	7	10	809.57	-1.28346	-1.81973	-0.252003	-0.66727	-0.2559	-0.754837	0.5	10.5	3	0.240356
4	1	0	7	10	675.781	-0.0898203	-2.45541	1.49883	-1.61039	-0.543231	-0.335644	0.5	10.5	3	1.81973
4	0	0	7	10	467.773	-0.0861356	-0.935374	0.130535	-1.01948	-0.509859	-0.904464	0.5	10.5	3	0.123104
4	0	0	7	10	633.789	-0.450492	-0.624034	0.134256	1.45985	-1.10576	-1.61039	0.5	10.5	3	0.194367
4	1	0	7	10	516.602	-0.0237705	-1.11612	0.572738	-0.645386	1.07568	-1.24344	0.5	10.5	3	-0.645386
4	0	0	7	10	583.984	0.402498	-1.40606	0.201971	-0.572738	1.69031	-2.34291	0.5	10.5	3	-0.236488
4	0	0	7	10	641.602	0.389716	-2.10514	1.2182	-0.275504	0.437217	0.786299	0.5	10.5	3	-0.287365
4	1	0	7	10	424.805	-0.119394	-1.63573	0.587835	-1.94312	0.424084	-0.799254	0.5	10.5	3	0.279449
4	0	0	7	10	508.789	-1.02851	-1.23069	0.712803	0.377054	0.495875	-0.786299	0.5	10.5	3	-0.104584
4	0	0	7	10	550.781	0.0861356	-0.712803	1.02851	0.598034	-0.134256	-0.779903	0.5	10.5	3	-0.291336
4	0	0	7	10	458.008	0.64	-1.45985	-0.0935074	0.624034	0.943324	-1.563	0.5	10.5	3	-0.48665
4	0	0	7	10	608.398	-0.0677451	-0.88951	-0.860522	0.819116	-0.398223	-0.167923	0.5	10.5	3	-0.505177
